PLATFORM,DATE (YYYY-MM-DDTHH:MI:SSZ),LATITUDE (degree_north),LONGITUDE (degree_east),DEPH (meter),TEMP (degree_Celsius),PSAL (psu),QC,GTSPP_UNIQUE_PROFILE_ID
28901,2012-07-20T03:08:00Z,22.0540,123.6980,2,29.77,34.15,0111111,
28901,2012-07-20T03:08:00Z,22.0540,123.6980,3,29.77,34.15,0111111,
28901,2012-07-20T03:08:00Z,22.0540,123.6980,4,29.77,34.15,0111111,
28901,2012-07-20T03:08:00Z,22.0540,123.6980,5,29.77,34.14,0111111,
28901,2012-07-20T03:08:00Z,22.0540,123.6980,6,29.76,34.15,0111111,
28901,2012-07-20T03:08:00Z,22.0540,123.6980,7,29.75,34.15,0111111,
28901,2012-07-20T03:08:00Z,22.0540,123.6980,8,29.76,34.15,0111111,
28901,2012-07-20T03:08:00Z,22.0540,123.6980,9,29.75,34.15,0111111,
28901,2012-07-20T03:08:00Z,22.0540,123.6980,10,29.75,34.15,0111111,
28901,2012-07-20T03:08:00Z,22.0540,123.6980,20,29.7,34.15,0111111,
28901,2012-07-20T03:08:00Z,22.0540,123.6980,30,29.68,34.15,0111111,
28901,2012-07-20T03:08:00Z,22.0540,123.6980,40,29.28,34.24,0111111,
28901,2012-07-20T03:08:00Z,22.0540,123.6980,50,28.8,34.31,0111111,
28901,2012-07-20T03:08:00Z,22.0540,123.6980,60,28.28,34.4,0111111,
28901,2012-07-20T03:08:00Z,22.0540,123.6980,70,27.85,34.47,0111111,
28901,2012-07-20T03:08:00Z,22.0540,123.6980,80,27.62,34.49,0111111,
28901,2012-07-20T03:08:00Z,22.0540,123.6980,90,26.15,34.68,0111111,
28901,2012-07-20T03:08:00Z,22.0540,123.6980,100,25.79,34.74,0111111,
28901,2012-07-20T03:08:00Z,22.0540,123.6980,110,25.7,34.75,0111111,
28901,2012-07-20T03:08:00Z,22.0540,123.6980,120,25,34.76,0111111,
28901,2012-07-20T03:08:00Z,22.0540,123.6980,130,24.01,34.85,0111111,
28901,2012-07-20T03:08:00Z,22.0540,123.6980,140,23.33,34.88,0111111,
28901,2012-07-20T03:08:00Z,22.0540,123.6980,150,22.82,34.86,0111111,
28901,2012-07-20T03:08:00Z,22.0540,123.6980,160,22.01,34.8,0111111,
28901,2012-07-20T03:08:00Z,22.0540,123.6980,170,21.2,34.76,0111111,
28901,2012-07-20T03:08:00Z,22.0540,123.6980,180,21.11,34.77,0111111,
28901,2012-07-20T03:08:00Z,22.0540,123.6980,190,20.58,34.76,0111111,
28901,2012-07-20T03:08:00Z,22.0540,123.6980,200,20.11,34.76,0111111,
28901,2012-07-20T03:08:00Z,22.0540,123.6980,250,18.94,34.72,0111111,
28901,2012-07-20T03:08:00Z,22.0540,123.6980,300,17.28,34.69,0111111,
28901,2012-07-20T03:08:00Z,22.0540,123.6980,349,15.19,34.55,0111111,
28901,2012-07-20T03:08:00Z,22.0540,123.6980,400,12.95,34.45,0111111,
28901,2012-07-20T03:08:00Z,22.0540,123.6980,450,11.45,34.38,0111111,
28901,2012-07-20T03:08:00Z,22.0540,123.6980,499,9.88,34.3,0111111,
28901,2012-07-20T03:08:00Z,22.0540,123.6980,550,8.96,34.31,0111111,
28901,2012-07-20T03:08:00Z,22.0540,123.6980,600,8.06,34.29,0111111,
28901,2012-07-20T03:08:00Z,22.0540,123.6980,650,7.23,34.29,0111111,
28901,2012-07-20T03:08:00Z,22.0540,123.6980,700,6.39,34.29,0111111,
28901,2012-07-20T03:08:00Z,22.0540,123.6980,750,5.57,34.31,0111111,
28901,2012-07-20T03:08:00Z,22.0540,123.6980,800,5.32,34.35,0111111,
28901,2012-07-20T03:08:00Z,22.0540,123.6980,850,5,34.4,0111111,
28901,2012-07-20T03:08:00Z,22.0540,123.6980,899,4.62,34.43,0111111,
28901,2012-07-20T03:08:00Z,22.0540,123.6980,949,4.43,34.45,0111111,
28901,2012-07-20T03:19:00Z,22.0540,123.6980,5,29.79,34.15,0111111,
28901,2012-07-20T03:19:00Z,22.0540,123.6980,8,29.79,34.15,0111111,
28901,2012-07-20T03:19:00Z,22.0540,123.6980,10,29.76,34.15,0111111,
28901,2012-07-20T03:19:00Z,22.0540,123.6980,20,29.71,34.15,0111111,
28901,2012-07-20T03:19:00Z,22.0540,123.6980,29,29.7,34.15,0111111,
28901,2012-07-20T03:19:00Z,22.0540,123.6980,40,29.53,34.21,0111111,
28901,2012-07-20T03:19:00Z,22.0540,123.6980,50,28.89,34.34,0111111,
28901,2012-07-20T03:19:00Z,22.0540,123.6980,60,28.38,34.41,0111111,
28901,2012-07-20T03:19:00Z,22.0540,123.6980,70,28,34.47,0111111,
28901,2012-07-20T03:19:00Z,22.0540,123.6980,80,27.66,34.51,0111111,
28901,2012-07-20T03:19:00Z,22.0540,123.6980,90,26.72,34.69,0111111,
28901,2012-07-20T03:19:00Z,22.0540,123.6980,100,25.76,34.75,0111111,
28901,2012-07-20T03:19:00Z,22.0540,123.6980,110,25.7,34.75,0111111,
28901,2012-07-20T03:19:00Z,22.0540,123.6980,120,25.67,34.76,0111111,
28901,2012-07-20T03:19:00Z,22.0540,123.6980,130,24.67,34.85,0111111,
28901,2012-07-20T03:19:00Z,22.0540,123.6980,140,23.89,34.89,0111111,
28901,2012-07-20T03:19:00Z,22.0540,123.6980,150,23.27,34.85,0111111,
